4860.00,0.99,34.02,0.54
4890.00,0.47,31.63,0.40
4920.00,-0.10,31.63,0.32
4950.00,-0.43,31.63,0.41
4980.00,-1.07,41.51,0.64
5010.00,-1.83,328.52,1.26
5040.00,-2.18,569.06,2.08
5070.00,-2.29,666.91,2.29
5100.00,-2.27,649.30,1.89
5130.00,-2.22,598.85,2.07
5160.00,-2.01,434.96,2.28
5190.00,-1.62,224.27,2.16
5220.00,-1.06,40.64,2.29
5250.00,-0.38,31.63,2.20
5280.00,0.34,31.63,1.76
5310.00,0.64,31.63,1.24
5340.00,0.92,31.63,0.84
5370.00,1.46,152.32,0.68
