0,0
0,0
0.9,15.3536
0.95,19.2128
1,24.3456
1.05,28.8704
1.1,33.9648
1.15,40.576
1.2,49.5616
1.25,59.5456
1.3,67.7312
1.35,77.2864
1.4,90.7584
1.45,98.8992
1.5,111.4048
1.55,124.2048
1.6,141.6256
1.65,157.9136
1.7,172.5376
1.75,193.0496
1.8,208.5056
1.85,226.9632
1.9,247.6096
1.95,266.2592
2,293.5616
2.05,309.8944
2.1,333.6064
2.15,361.824
2.2,393.888
2.25,409.536
2.3,434.7456
2.35,473.92
2.4,508.5952
2.45,539.1488
2.5,560.9728
2.55,589.2416
2.6,605.8432
2.65,621.6576
2.7,637.8112
2.75,643.9296
2.8,648.1536
2.85,652.3328
2.9,654.6368
2.95,653.344
3,655.5776
5,655.5776
